Waterloop;Lambert X/Y;X;Y;Omschrijving;Gemeente;Provincie;Bekken;Afvissingsmethode;Jaar;Datum;Nederlandse naam;Aantal per vangstinspanning;Eenheid
Rupel;147138/199035;147138;199035;nabij Winthamsluis;Puurs-Sint-Amands;Antwerpen;Beneden-Scheldebekken;Fuiken;2016;17/06/2016;serpeling;0.50;per fuik
Linkebeek;147342/162773;147342;162773;baan naar Drogenbos;Linkebeek;Brabant;Dijlebekken;Elektrisch;2007;02/05/2007;kopvoorn;1.00;per 100m
Linkebeek;147342/162773;147342;162773;baan naar Drogenbos;Linkebeek;Brabant;Dijlebekken;Elektrisch;2011;02/05/2011;kopvoorn;1.00;per 100m
Kanaal BrusselRupel;149802/188769;149802;188769;stroomaf de sluis;Kapelle-op-den-Bos;Brabant;Beneden-Scheldebekken;Elektrisch;2002;14/10/2002;kopvoorn;0.20;per 100m
Rupel;152324/196076;152324;196076;hamerdijk;Willebroek;Antwerpen;Beneden-Scheldebekken;Fuiken;2016;13/10/2016;kopvoorn;0.50;per fuik
Rupel;152324/196076;152324;196076;hamerdijk;Willebroek;Antwerpen;Beneden-Scheldebekken;Fuiken;2019;10/09/2019;kopvoorn;0.50;per fuik
Zenne;153632/178620;153632;178620;Stroomafwaarts de viaduct van Vilvoorde, aan Initial Hospital Services;Vilvoorde;Brabant;Dijlebekken;Fuiken;2022;14/10/2022;serpeling;0.25;per fuik
Grote Nete;154082/195817;154082;195817;Nieuwe kreek - wetland in GGG Grote vijver Mechelen;Mechelen;Antwerpen;Netebekken;Elektrisch;2022;26/04/2022;kopvoorn;2.00;per 100m
Grote Nete;154082/195817;154082;195817;Nieuwe kreek - wetland in GGG Grote vijver Mechelen;Mechelen;Antwerpen;Netebekken;Elektrisch;2022;26/10/2022;kopvoorn;0.50;per 100m
Grote Nete;154436/196379;154436;196379;1 km voor monding in Rupel;Mechelen;Antwerpen;Netebekken;Fuiken;2022;09/09/2022;kopvoorn;1.50;per fuik
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2019;21/03/2019;kopvoorn;5.83;per 100m
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2019;22/03/2019;kopvoorn;6.90;per 100m
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2020;04/11/2020;kopvoorn;4.24;per 100m
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Fuiken;2021;14/10/2021;kopvoorn;2.00;per fuik
